hanford h,Hanford site,INL h,INL site,ORNL h,ORNL site,time,dose
60,0.0503,60,0.0659,60,0.0599,1,0.0503
80,0.0397,80,0.0563,80,0.0556,0.75,0.0391
90,0.036,85,0.0563,90,0.0545,0.5,0.0277
100,0.0331,88,0.0563,95,0.0543,0.25,0.0164
110,0.0261,90,0.0562,100,0.0539,,
120,0.0242,95,0.0561,110,0.0305,,
140,0.0203,98,0.056,112,0.0303,,
150,0.0188,100,0.0498,115,0.03,,
160,0.0173,110,0.0301,120,0.0296,,
180,0.0153,115,0.0301,125,0.0291,,
200,0.0138,120,0.03,130,0.0286,,
,,125,0.03,140,0.0283,,
,,130,0.03,150,0.0278,,
,,140,0.029,160,0.0275,,
,,150,0.0272,180,0.0266,,
,,160,0.0259,200,0.026,,
,,180,0.0236,,,,
,,200,0.022,,,,
