,average,max ,min
1961,10.56671233,30.7625,-8.416666667
1962,10.02484018,29.46666667,-11.79166667
1963,10.02614155,27.15833333,-15.4375
1964,9.043966302,27.94166667,-19.7
1965,10.08265982,28.575,-9.508333333
1966,11.0594863,28.17916667,-6.5875
1967,11.44505708,28.45416667,-6.95
1968,10.13695355,28.6125,-19.39166667
1969,9.598173516,26.05,-17.1125
1970,10.41488584,28.175,-10.60416667
1971,10.0244863,30.76666667,-10.35833333
1972,9.71121357,27.475,-15.975
1973,10.75424658,28.5,-11.85
1974,10.6031621,27.3875,-19.9875
1975,10.08534247,30.0875,-7.945833333
1976,9.519444444,26.14583333,-6.129166667
1977,10.3135274,28.8625,-10.95833333
1978,9.85966895,27.35416667,-16.35416667
1979,10.17866438,31.1125,-17.05833333
1980,10.14022086,27.47916667,-17.375
1981,11.13533105,28.88333333,-9.129166667
1982,9.544406393,27.45416667,-18.79166667
1983,10.73739726,28.0375,-18.11666667
1984,9.148269581,27.31666667,-18.30833333
1985,8.386027397,28.60833333,-18.5875
1986,10.1828653,28.575,-6.854166667
1987,10.42296804,27.64166667,-9.929166667
1988,10.13723816,27.875,-11.93333333
1989,9.891986301,27.09583333,-16.225
1990,10.65407534,29.09583333,-19.025
1991,10.08068493,27.75,-9.75
1992,10.79521858,30.25,-10
1993,8.717808219,26.4,-14.7
1994,10.68328767,29.45,-8.65
1995,10.15191781,27.5,-7.75
1996,8.617896175,27.5,-20.25
1997,9.883561644,28.3,-12.2
1998,10.85657534,30.85,-13.6
1999,10.04191781,28.05,-3.35
2000,9.43647541,29.45,-10
2001,10.31205479,28.6,-4.75
2002,10.03643836,32.5,-5.3
2003,10.94835616,29.7,-10.55
2004,10.60286885,28.65,-18.65
2005,9.912191781,27.8,-9.45
2006,10.1369863,30.3,-10
2007,9.935205479,28.35,-9.7
2008,9.375819672,28.6,-14.15
2009,9.688219178,28.6,-12.5
2010,10.40671233,27.8,-16.35
2011,9.710821918,26.7,-8.9
2012,10.89330601,38.3,-7.75
2013,11.23520548,30.25,-12.4
2014,11.74835616,30.85,-12.95
2015,12.87410959,33.05,-9.65
2016,12.19617486,30.55,-13.25
2017,11.09726027,28.9,-13.8
